num_cores,coverage_amount_reached,duration_seconds,share_coverage_results,share_inputs_database
520, 37.63571428571429, 1, true, false
520, 8.861785714285716, 1, false, true
520, 32.26714285714285, 1, true, true
520, 7.2653571428571375, 1, false, false
540, 32.273214285714296, 1, true, true
540, 8.79571428571428, 1, false, true
540, 37.835000000000015, 1, true, false
540, 7.171428571428575, 1, false, false
560, 8.82714285714286, 1, false, true
560, 38.295, 1, true, false
560, 32.66428571428569, 1, true, true
560, 7.210714285714284, 1, false, false
580, 38.530000000000044, 1, true, false
580, 8.85785714285714, 1, false, true
580, 32.793928571428566, 1, true, true
580, 7.2707142857142895, 1, false, false
600, 33.254285714285714, 1, true, true
600, 7.294285714285714, 1, false, false
600, 39.146785714285706, 1, true, false
600, 8.853214285714277, 1, false, true
620, 8.892857142857144, 1, false, true
620, 33.27750000000003, 1, true, true
620, 7.227142857142865, 1, false, false
620, 39.37535714285722, 1, true, false
640, 33.35964285714288, 1, true, true
640, 7.34214285714286, 1, false, false
640, 8.837499999999999, 1, false, true
640, 40.03714285714284, 1, true, false
660, 7.228571428571436, 1, false, false
660, 33.80607142857145, 1, true, true
660, 40.34357142857144, 1, true, false
660, 8.892499999999998, 1, false, true
680, 8.718928571428577, 1, false, true
680, 33.81964285714282, 1, true, true
680, 7.064285714285716, 1, false, false
680, 40.63250000000007, 1, true, false
700, 40.84107142857142, 1, true, false
700, 8.712142857142858, 1, false, true
700, 34.3882142857143, 1, true, true
700, 7.05107142857143, 1, false, false
720, 41.013214285714255, 1, true, false
720, 7.279285714285719, 1, false, false
720, 8.859285714285711, 1, false, true
720, 34.32928571428571, 1, true, true
740, 7.357857142857143, 1, false, false
740, 8.856428571428566, 1, false, true
740, 34.47321428571427, 1, true, true
740, 41.252857142857096, 1, true, false
760, 34.75285714285719, 1, true, true
760, 8.759285714285712, 1, false, true
760, 7.231785714285714, 1, false, false
760, 41.8921428571429, 1, true, false
780, 35.14285714285714, 1, true, true
780, 7.170714285714291, 1, false, false
780, 8.815714285714293, 1, false, true
780, 42.16428571428568, 1, true, false
800, 8.79821428571429, 1, false, true
800, 35.14535714285714, 1, true, true
800, 7.289285714285714, 1, false, false
800, 42.09428571428569, 1, true, false
820, 7.303928571428567, 1, false, false
820, 35.10035714285711, 1, true, true
820, 42.70392857142855, 1, true, false
820, 8.811428571428578, 1, false, true
840, 7.193928571428571, 1, false, false
840, 35.39214285714286, 1, true, true
840, 42.82214285714291, 1, true, false
840, 8.86607142857143, 1, false, true
860, 8.890714285714283, 1, false, true
860, 42.98321428571426, 1, true, false
860, 7.25214285714285, 1, false, false
860, 35.6710714285714, 1, true, true
880, 8.740714285714274, 1, false, true
880, 35.92285714285715, 1, true, true
880, 7.151071428571423, 1, false, false
880, 43.247500000000024, 1, true, false
900, 8.741785714285715, 1, false, true
900, 35.8332142857143, 1, true, true
900, 43.556785714285674, 1, true, false
900, 7.156785714285713, 1, false, false
920, 36.21749999999998, 1, true, true
920, 7.236428571428571, 1, false, false
920, 8.885357142857139, 1, false, true
920, 43.74250000000001, 1, true, false
940, 36.264285714285705, 1, true, true
940, 8.78857142857143, 1, false, true
940, 43.95750000000004, 1, true, false
940, 7.287500000000003, 1, false, false
960, 8.815714285714284, 1, false, true
960, 44.19821428571434, 1, true, false
960, 7.316785714285716, 1, false, false
960, 36.28642857142859, 1, true, true
980, 7.1271428571428626, 1, false, false
980, 8.840714285714286, 1, false, true
980, 44.488928571428545, 1, true, false
980, 36.58107142857143, 1, true, true
1000, 44.58250000000004, 1, true, false
1000, 36.78392857142858, 1, true, true
1000, 7.216428571428572, 1, false, false
1000, 8.787142857142856, 1, false, true
1020, 37.122857142857136, 1, true, true
1020, 8.897500000000008, 1, false, true
1020, 7.2128571428571515, 1, false, false
1020, 44.91999999999999, 1, true, false
1040, 37.28464285714288, 1, true, true
1040, 8.742142857142852, 1, false, true
1040, 7.1617857142857195, 1, false, false
1040, 45.14571428571428, 1, true, false
1060, 45.2292857142857, 1, true, false
1060, 7.299999999999997, 1, false, false
1060, 37.454285714285696, 1, true, true
1060, 8.833928571428576, 1, false, true
1080, 45.728928571428554, 1, true, false
1080, 8.863214285714289, 1, false, true
1080, 37.36785714285713, 1, true, true
1080, 7.252499999999995, 1, false, false
1100, 45.70107142857142, 1, true, false
1100, 7.2853571428571415, 1, false, false
1100, 37.638214285714284, 1, true, true
1100, 8.805000000000007, 1, false, true
1120, 45.84892857142859, 1, true, false
1120, 8.82, 1, false, true
1120, 7.209642857142862, 1, false, false
1120, 37.706428571428546, 1, true, true
1140, 46.38321428571432, 1, true, false
1140, 37.818928571428586, 1, true, true
1140, 8.887500000000003, 1, false, true
1140, 7.196071428571428, 1, false, false
1160, 7.219999999999993, 1, false, false
1160, 46.20249999999998, 1, true, false
1160, 37.731071428571404, 1, true, true
1160, 8.854999999999999, 1, false, true
1180, 7.287142857142855, 1, false, false
1180, 38.16607142857145, 1, true, true
1180, 8.713214285714281, 1, false, true
1180, 46.652857142857115, 1, true, false
1200, 8.83035714285715, 1, false, true
1200, 46.61250000000005, 1, true, false
1200, 38.23500000000002, 1, true, true
1200, 7.2596428571428495, 1, false, false
1220, 7.243928571428574, 1, false, false
1220, 8.905714285714286, 1, false, true
1220, 38.41285714285716, 1, true, true
1220, 47.106785714285685, 1, true, false
1240, 7.295714285714276, 1, false, false
1240, 38.54499999999996, 1, true, true
1240, 8.716785714285713, 1, false, true
1240, 47.105357142857144, 1, true, false
1260, 38.95035714285709, 1, true, true
1260, 8.837857142857148, 1, false, true
1260, 7.2021428571428485, 1, false, false
1260, 47.159642857142856, 1, true, false
1280, 8.872857142857143, 1, false, true
1280, 47.415714285714316, 1, true, false
1280, 7.237857142857145, 1, false, false
1280, 38.86428571428569, 1, true, true
1300, 7.232500000000004, 1, false, false
1300, 47.560357142857164, 1, true, false
1300, 38.62535714285714, 1, true, true
1300, 8.795357142857148, 1, false, true
1320, 47.5975, 1, true, false
1320, 8.817857142857145, 1, false, true
1320, 39.19071428571426, 1, true, true
1320, 7.138571428571425, 1, false, false
1340, 8.711071428571424, 1, false, true
1340, 7.258928571428568, 1, false, false
1340, 47.65000000000003, 1, true, false
1340, 39.26642857142856, 1, true, true
1360, 39.073214285714286, 1, true, true
1360, 48.044642857142854, 1, true, false
1360, 7.202142857142857, 1, false, false
1360, 8.79857142857143, 1, false, true
1380, 7.1917857142857065, 1, false, false
1380, 48.294999999999995, 1, true, false
1380, 8.783571428571424, 1, false, true
1380, 39.4232142857143, 1, true, true
