fuzz_cases,coverage_reached,mutation_aggressiveness
2404, 54.46428571428571, 10
2421, 54.64285714285714, 10
2428, 55.35714285714286, 10
2454, 55.53571428571429, 10
2497, 55.714285714285715, 10
2553, 55.892857142857146, 10
2597, 56.607142857142854, 10
2679, 56.785714285714285, 10
2690, 56.96428571428571, 10
2866, 57.14285714285714, 10
2920, 57.32142857142857, 10
2979, 57.49999999999999, 10
2982, 57.67857142857142, 10
3001, 58.03571428571429, 10
3034, 58.214285714285715, 10
3052, 58.392857142857146, 10
3063, 58.57142857142858, 10
3198, 58.92857142857143, 10
3517, 63.57142857142857, 10
3596, 63.74999999999999, 10
3658, 63.92857142857142, 10
3819, 64.10714285714286, 10
3916, 64.28571428571429, 10
3979, 64.46428571428572, 10
3995, 64.64285714285715, 10
4010, 64.82142857142857, 10
4251, 65, 10
4487, 65.17857142857143, 10
4505, 65.35714285714286, 10
4668, 65.53571428571429, 10
4739, 65.71428571428571, 10
4816, 65.89285714285714, 10
4978, 66.07142857142857, 10
4995, 66.25, 10
5125, 66.42857142857143, 10
5281, 66.60714285714285, 10
5306, 66.96428571428571, 10
5445, 67.14285714285714, 10
5491, 67.5, 10
5564, 67.85714285714286, 10
5697, 68.03571428571429, 10
5939, 68.39285714285714, 10
6045, 68.57142857142857, 10
6106, 68.75, 10
6225, 68.92857142857143, 10
6320, 69.28571428571428, 10
6346, 69.46428571428571, 10
6392, 69.64285714285714, 10
6502, 69.82142857142857, 10
6525, 70, 10
6679, 70.17857142857142, 10
6774, 70.35714285714286, 10
6849, 70.53571428571429, 10
6985, 70.71428571428572, 10
7032, 71.25, 10
7216, 71.42857142857143, 10
7371, 71.60714285714286, 10
7382, 71.96428571428571, 10
7574, 72.14285714285714, 10
7725, 72.32142857142857, 10
7792, 72.67857142857143, 10
8007, 72.85714285714285, 10
8090, 73.03571428571428, 10
8348, 73.21428571428571, 10
8385, 73.39285714285714, 10
8580, 73.75, 10
8647, 73.92857142857143, 10
8838, 74.10714285714286, 10
8997, 74.28571428571429, 10
9035, 74.46428571428572, 10
9155, 74.64285714285714, 10
9317, 74.82142857142857, 10
9332, 75, 10
9488, 75.17857142857143, 10
9581, 75.53571428571428, 10
9705, 75.71428571428571, 10
10055, 75.89285714285714, 10
10057, 76.07142857142857, 10
10580, 76.42857142857142, 10
10908, 76.60714285714286, 10
11215, 76.78571428571429, 10
11225, 76.96428571428572, 10
11383, 77.14285714285715, 10
11420, 77.32142857142857, 10
12086, 77.5, 10
12335, 77.67857142857143, 10
12668, 78.03571428571429, 10
13359, 78.21428571428571, 10
13682, 78.39285714285714, 10
13959, 78.57142857142857, 10
14796, 78.75, 10
14865, 78.92857142857143, 10
15078, 79.10714285714285, 10
16199, 79.46428571428571, 10
16568, 79.64285714285714, 10
19950, 79.82142857142858, 10
20652, 80, 10
22462, 80.35714285714286, 10
22526, 80.89285714285714, 10
29373, 81.07142857142857, 10
30304, 81.25, 10
35211, 81.42857142857143, 10
40649, 81.60714285714286, 10
41450, 82.14285714285714, 10
43353, 82.32142857142857, 10
43872, 82.5, 10
48226, 82.67857142857142, 10
52227, 82.85714285714286, 10
54130, 83.03571428571429, 10
54945, 83.39285714285715, 10
56146, 83.57142857142857, 10
57171, 83.75, 10
63577, 84.28571428571429, 10
67573, 84.46428571428571, 10
72573, 84.64285714285714, 10
76760, 84.82142857142857, 10
76888, 85, 10
80495, 85.35714285714285, 10
83834, 85.89285714285714, 10
86809, 86.07142857142858, 10
86875, 86.25, 10
